source,file,duration,num_syllables,speech_rate,articulation_rate,total_speaking_time,total_pause_time,num_pauses,mean_pause_duration,mean_f0,stdev_f0,mean_intensity,stdev_intensity,jitter,shimmer,hnr,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
Pipelined Recordings,AA_3d93cd5b-9dba-4e66-9f72-f3afbc43b274_WList_note.wav,9.0,4,0.4444444444444444,0.4444444444444444,9.0,0.0,0,0.0,189.4261961747369,27.2934831502431,57.84481143828402,8.474926536866105,1.4041375505856053,0.12074017726798678,11.758349055400858,-317.50882,79.65669,44.07389,28.108868,15.6943445,27.01773,7.754883,18.41809,-18.182829,19.084227,-13.520162,17.449682,-5.2029753,16.18869,-3.2140694,13.225576,-11.004002,10.595123,-3.3455985,9.594157,-8.53968,9.494457,-1.8299496,9.877281,2.1790893,8.951775
Pipelined Recordings,AA_3e061f6f-2802-4d35-a1cc-1dcb4c1a62a2_WList_note.wav,15.0,9,0.6,0.6,15.0,0.0,0,0.0,188.97460433120168,48.63594975731574,51.87326705112553,8.236558459162854,3.301036521357565,0.18878015878104498,5.727059140456911,-390.89035,80.87064,72.62231,27.889153,11.176579,31.970692,15.017308,19.203957,-10.193451,26.944954,0.03856292,16.471077,0.022017289,12.6782675,2.8578966,15.378856,-6.7921424,13.903167,-2.0615044,11.848899,-9.184964,8.366759,-11.753092,11.567399,3.9423563,10.0235195
Pipelined Recordings,AA_48b88533-9473-4807-a85c-2a104e2f9961_WList_note.wav,15.0,8,0.5333333333333333,0.5333333333333333,15.0,0.0,0,0.0,81.64187835423013,31.451995495501432,62.66246973161957,6.69772873007739,2.4635333937105415,0.174550621496664,4.669750017889168,-259.2912,62.570637,80.0677,19.133444,8.105661,16.732761,6.957161,17.17759,-4.617226,11.718972,-16.0597,15.791753,-22.616613,15.955324,-10.277184,13.159852,-10.552668,10.355652,-7.483122,9.313993,-10.658699,10.082801,-7.7375565,7.8998976,-15.166816,7.800356
Pipelined Recordings,AA_4f48986b-a357-411f-8295-72055f94f8db_WList_note.wav,21.0,11,0.5238095238095238,0.5238095238095238,21.0,0.0,0,0.0,163.39019065212904,72.76303710360874,67.95086528566227,6.717435296684014,2.2110249479320743,0.19363784104118936,5.417655143544866,-159.54158,51.88779,62.89403,19.658178,-4.533117,16.574102,-3.6183355,18.330332,-16.333292,15.210344,-9.326748,13.165839,-15.390281,8.431981,-1.472213,9.258218,-14.911362,9.832846,-0.91476476,7.265087,-9.976242,8.226396,-7.1673408,10.850049,-9.674702,7.085259
Pipelined Recordings,AA_6d7b34c1-0d58-4869-ae11-db1c376c4cf3_WList_note.wav,22.0,10,0.45454545454545453,0.5093724531377343,19.632,2.367999999999999,3,0.789333333333333,145.55888907830075,69.64473464453943,55.19953375004769,14.120624272741727,2.9251759767993555,0.17980630350179985,6.775031963721866,-423.6418,120.6061,85.31938,36.52883,13.211984,29.99511,11.099537,21.453302,-19.627466,23.48069,-21.911259,22.234102,-14.272431,17.252401,-7.09105,16.690514,-13.183246,12.384539,-6.8678913,12.553251,-2.3270302,11.716648,-6.9857354,13.9997015,-3.2453432,8.455992
Pipelined Recordings,AA_6e792bb2-5d40-40f8-b854-4155db751a13_WList_note.wav,13.0,8,0.6153846153846154,0.6153846153846154,13.0,0.0,0,0.0,126.91546435692455,28.104320773595386,59.204354712275126,12.64209578532308,2.2309755155894395,0.16667612235697904,6.686170447322306,-339.863,86.76401,56.245224,22.362753,-2.55611,18.116676,-19.079826,30.445597,-5.675682,10.648447,-28.893042,25.048723,-19.20133,14.674879,-15.611676,14.764429,-4.481799,11.987642,-5.641,8.392408,-13.625292,9.075258,-10.89631,8.708054,-20.185904,11.0231495
Pipelined Recordings,AA_8ae07be5-0e9e-4ccb-8460-9d158620c85d_WList_note.wav,7.0,4,0.5714285714285714,0.5714285714285714,7.0,0.0,0,0.0,168.26904767015137,18.475280398410195,57.94072616279511,12.215431053393214,2.7029058158405146,0.15957047374027997,7.689666105975398,-362.28476,115.69592,42.22659,34.985023,15.37062,28.939043,20.146318,30.403477,-30.162966,24.935848,-21.727663,21.624731,-29.175058,20.681139,5.297361,13.652109,-7.0022154,14.488484,-0.93524396,14.604576,-12.466485,10.778497,-8.08714,15.569625,-10.87143,10.339465
Pipelined Recordings,AA_8bc5d297-22b5-4fec-a49a-3fe4887e0661_WList_note.wav,13.0,7,0.5384615384615384,0.584502338009352,11.975999999999999,1.024000000000001,2,0.5120000000000005,174.80689900732125,73.4552983384533,66.92270897894215,14.649547077759284,2.503333861512419,0.1461372966021666,8.861426118290245,-275.36542,104.42437,51.122955,23.967844,-4.4656672,21.209284,-3.5078297,16.38098,-23.004055,18.087652,-30.39978,25.017319,-11.905617,15.876945,-11.24263,11.683787,-11.743036,11.150184,0.32470277,9.896423,-22.791412,13.6976,-3.4853802,9.190486,-10.436043,9.686174
Pipelined Recordings,AA_9c388872-13b0-4d20-bdb6-915039c78735_WList_note.wav,18.0,10,0.5555555555555556,0.5555555555555556,18.0,0.0,0,0.0,198.53498087014032,30.9436792936705,55.02736254821407,10.188723201794827,2.681990581749482,0.14924945247715604,9.934552597510367,-386.27225,84.786705,55.901424,41.206696,6.688502,32.139004,7.44085,25.851494,-22.454147,19.84706,-20.598608,16.461227,-12.155305,12.79832,-8.596283,16.171932,-5.7795997,13.038013,-12.368388,12.0705805,-2.6776426,13.791229,-13.837999,11.628066,-11.551048,11.753181
Pipelined Recordings,AA_9ee6acc1-9eec-4ab4-a52a-62f3533f37ae_WList_note.wav,11.0,5,0.45454545454545453,0.45454545454545453,11.0,0.0,0,0.0,114.6861266091946,41.28657123350958,55.852871849905895,10.70402170006687,3.593210752610899,0.1700577315327654,8.336565200240143,-422.58298,108.7741,86.6437,37.466183,37.17503,26.813816,40.761402,27.252106,4.8773575,17.558237,-16.703411,16.67339,-26.92212,18.44206,4.1462464,14.891725,-14.914173,17.336912,1.7347778,10.52221,10.216183,13.9402075,-8.109435,10.338821,0.679583,12.561988
Pipelined Recordings,AA_c10a9ed7-e52e-4103-b042-9e342ed08dc8_WList_note.wav,15.0,5,0.3333333333333333,0.3333333333333333,15.0,0.0,0,0.0,181.0260592598548,55.15121686303647,58.222813690566184,12.16397589316707,2.987498418557802,0.17722398884268442,7.214705637360288,-354.56482,103.212006,62.80655,24.90465,10.93235,27.405138,-6.0276055,20.84713,-19.566921,20.834198,-16.073772,19.61732,-1.691464,14.6745405,-8.976866,13.29668,-8.897648,12.178951,2.0451963,10.531541,-8.906421,11.362441,-4.931944,11.350327,-5.452431,9.763686
